customer_id,full_name,email,phone,account_type,account_since,region,preferred_language,risk_score,kyc_verified,churn_risk,total_complaints_last_90_days
27747fc6-c8e1-42b4-b444-0be1750349a2,Linda Johnson,linda.johnson143@gmail.com,+1-555-350-4657,retail,2018-07-23,OH,en,0.89,True,high,8
e5a6f1b3-7df5-432e-a8ef-60b7319e3d7c,Richard Tanaka,richard.tanaka829@gmail.com,+1-555-559-5557,premium,2020-06-09,PA,en,0.8,True,medium,5
1e51e4f4-8883-414e-aa1b-e6d9f2109303,Michael Thomas,michael.thomas827@gmail.com,+1-555-718-5333,student,2019-03-02,TX,en,0.9,True,medium,8
0424ff5c-6c60-4a78-9ad0-899228ade260,Diego Singh,diego.singh792@outlook.com,+1-555-146-4733,retail,2022-07-27,SG,en,0.38,True,medium,5
6576f273-a6e7-4b19-94c7-20d2f2924548,Susan Ahmed,susan.ahmed624@yahoo.com,+1-555-799-2169,premium,2023-05-07,GA,en,0.78,True,medium,8
b8041cc4-ff1c-4adc-a2af-451998c145d2,Patricia Wang,patricia.wang411@outlook.com,+1-555-924-6168,retail,2022-10-24,AE,en,0.26,True,high,7
f8fbbde0-a586-48d8-8a71-347f0fc08eb0,Olga Martinez,olga.martinez270@hotmail.com,+1-555-352-9830,student,2021-02-13,FL,en,0.08,True,low,0
5fa99646-d4c6-42a9-aa3d-72d446e347a9,David Lee,david.lee611@hotmail.com,+1-555-494-7252,business,2018-12-22,SG,en,0.1,True,high,8
643da60e-cd99-46e1-bcdc-b850bbdf7cd9,Priya Davis,priya.davis4@outlook.com,+1-555-261-8433,premium,2019-06-27,AE,en,0.25,True,low,8
d9874677-f96b-4061-8cb4-c614248cbccd,Mei Patel,mei.patel941@gmail.com,+1-555-897-9689,business,2019-09-13,CA,en,0.74,True,low,4
09c63f9d-6806-425e-9ae2-527f051c9991,Diego Garcia,diego.garcia779@yahoo.com,+1-555-597-2133,premium,2019-11-07,NC,en,0.73,True,high,6
ab3cc7de-b731-4158-9458-1b35b15da8ef,Richard Gonzalez,richard.gonzalez449@hotmail.com,+1-555-787-7118,retail,2022-05-26,FL,en,0.49,True,low,3
b0fdb37a-ebcf-4207-a27a-2fe90495329e,Robert Brown,robert.brown73@yahoo.com,+1-555-132-6413,business,2019-09-26,FL,en,0.79,True,medium,7
f9fc183c-cade-4454-8e68-2ac58275d678,Carlos Singh,carlos.singh363@hotmail.com,+1-555-774-8062,student,2019-12-11,SG,es,0.94,False,low,4
e53ceed1-300d-4ebd-ab57-25fa333d2a71,Jessica Singh,jessica.singh433@yahoo.com,+1-555-559-3296,business,2019-12-29,FL,en,0.72,True,low,8
af51ce58-b3c2-45a2-9cea-bc97ffacc28d,Jessica Patel,jessica.patel886@hotmail.com,+1-555-592-4502,retail,2023-05-02,OH,en,0.22,True,high,7
8e563d07-0bb6-4222-897e-7b845269b111,Aisha Kim,aisha.kim992@gmail.com,+1-555-403-4566,retail,2021-08-30,CA,en,0.42,True,high,8
8a0fef33-cd2f-4c7a-a7ee-e1caf2106631,Jennifer Kumar,jennifer.kumar414@gmail.com,+1-555-169-4853,premium,2018-09-08,MI,en,0.35,True,medium,8
9144dbaa-fa05-4288-9ae6-8db9b49c7e04,Susan Wilson,susan.wilson688@outlook.com,+1-555-505-3144,student,2021-08-19,AE,hi,0.01,True,high,1
2d250367-8bca-446d-b693-c6262d8381c0,Thomas Rodriguez,thomas.rodriguez379@outlook.com,+1-555-170-5002,premium,2020-04-07,SG,en,0.51,False,high,8
a31cb201-a64e-4ed4-b442-e6d387f38e49,Michael Rodriguez,michael.rodriguez279@outlook.com,+1-555-209-3546,premium,2021-05-02,FL,es,0.22,True,low,7
b8788935-5fa5-4bf1-b599-ac640d4a59ef,Jennifer Lee,jennifer.lee342@yahoo.com,+1-555-145-1058,business,2023-05-15,IN,en,0.36,True,high,0
35606ee6-a8b3-4555-a17e-fe5ccd13a9f2,Elizabeth Tanaka,elizabeth.tanaka566@yahoo.com,+1-555-478-84,student,2023-10-01,CA,en,0.78,True,low,0
9a8f51c9-bcae-4d28-bd5f-ab554168db40,Jessica Miller,jessica.miller998@yahoo.com,+1-555-673-7658,premium,2023-05-11,AU,en,0.02,True,medium,5
c2e3b9fc-e746-46a5-b84b-b6e82727a4e0,Jessica Ahmed,jessica.ahmed392@gmail.com,+1-555-818-2771,student,2022-09-07,FL,en,0.69,True,high,3
f586c645-4d5b-4d68-b89c-15468aa06ff6,Richard Jackson,richard.jackson991@outlook.com,+1-555-985-2137,business,2019-06-20,OH,es,0.45,True,medium,0
aac8d289-006d-46ed-bc2b-bf4266f373d4,Barbara Okafor,barbara.okafor112@hotmail.com,+1-555-371-1626,business,2021-08-30,OH,en,0.1,True,high,3
513b4036-8f50-40a4-aa0e-8513cf70a1d5,Ana Smith,ana.smith704@yahoo.com,+1-555-925-9821,business,2020-05-05,TX,es,0.52,True,medium,1
3862dfcc-ccfe-4b02-8eef-39ca924e63d4,Yuki Gonzalez,yuki.gonzalez714@outlook.com,+1-555-434-7592,premium,2023-01-11,OH,es,0.57,True,medium,2
af9860b1-7196-4f44-b6b3-1e274be3df29,Fatima Ivanov,fatima.ivanov216@hotmail.com,+1-555-411-5700,business,2019-12-19,GA,en,0.43,True,medium,2
dc86e423-016c-4a43-9af0-cf46cbfc51f2,Yuki Silva,yuki.silva689@outlook.com,+1-555-938-4848,premium,2022-12-12,NY,en,0.99,True,low,8
03b7b8fc-83d6-4946-8d4b-00767a03f90a,Olga Martin,olga.martin736@hotmail.com,+1-555-689-4185,student,2020-09-12,FL,en,0.0,True,low,1
b8f1ccc3-935e-4aa8-96ac-6fbbf19bdeff,Barbara Yamamoto,barbara.yamamoto940@gmail.com,+1-555-670-5082,student,2023-09-07,AU,en,0.83,True,medium,5
52cf29a1-bcb8-4463-bf8f-7c905a9151f4,Natasha Park,natasha.park919@yahoo.com,+1-555-661-8305,student,2020-02-18,IL,hi,0.54,True,low,8
ba042a38-d0e2-4be5-b769-56ee6c55eee7,Sarah Thompson,sarah.thompson279@outlook.com,+1-555-392-4841,business,2019-02-14,TX,en,0.32,True,low,2
39aa9c55-fb1b-4079-88a2-7f760b92b5dc,Carlos Martin,carlos.martin64@yahoo.com,+1-555-577-7812,student,2020-10-23,AE,hi,0.58,True,medium,6
05110a53-6632-4708-a81d-3fe343cceb66,Karen Moore,karen.moore552@yahoo.com,+1-555-955-7865,student,2022-09-20,IL,en,0.33,True,medium,6
99414cc5-86cd-4acd-b71b-9c7cef4a491b,William Silva,william.silva86@hotmail.com,+1-555-503-1444,premium,2020-01-01,NY,en,0.27,True,medium,7
23dbbf97-a184-41b2-a883-da71a44ce0ae,Sarah Martin,sarah.martin20@gmail.com,+1-555-183-8705,business,2022-08-31,UK,en,0.55,True,low,0
899424f8-f95d-47da-8a67-10f1384e7c9e,Maria Silva,maria.silva686@gmail.com,+1-555-229-8758,premium,2019-12-19,IN,en,0.14,True,low,1
c1b5b639-ca4b-4a1a-9186-56b0e6859dea,Karen Miller,karen.miller407@yahoo.com,+1-555-419-7149,retail,2018-07-16,IN,en,0.59,True,high,4
6abe0829-3dd4-4607-a6d2-f46436cb59db,Linda Petrov,linda.petrov439@outlook.com,+1-555-455-9728,retail,2019-07-04,UK,en,0.91,True,medium,7
8634d4d0-5b0a-44a0-aafc-afee58ea6978,Olga Martinez,olga.martinez989@outlook.com,+1-555-851-9548,student,2019-12-19,OH,es,0.27,True,low,3
a01c2859-cd5c-4754-b7fb-af2dc558ed60,Sarah Thompson,sarah.thompson345@gmail.com,+1-555-575-7209,student,2021-07-14,NY,en,0.67,True,high,5
f9a3bcaa-7eb6-41cd-9bdc-4d1848bf2e14,Sarah Ivanov,sarah.ivanov248@hotmail.com,+1-555-295-20,student,2018-12-14,AU,en,0.54,True,low,7
